iter	RMSE
0	2.871199518
1	2.871180189
2	2.871154628
3	2.871128305
4	2.871108232
5	2.871085741
6	2.871067232
7	2.871044788
8	2.871013052
9	2.870989975
10	2.870970384
11	2.870948435
12	2.870926739
13	2.87090669
14	2.870886221
15	2.870859958
16	2.87083203
17	2.870809301
18	2.870785029
19	2.87076142
20	2.870735091
21	2.87071579
22	2.87069067
23	2.87067174
24	2.870655325
25	2.870624637
26	2.870612632
27	2.870592062
28	2.870578709
29	2.870562947
30	2.870542653
31	2.870515976
32	2.870494897
33	2.870469948
34	2.870449259
35	2.870428402
36	2.870411129
37	2.870393907
38	2.870373647
39	2.870352971
40	2.87033057
41	2.870312135
42	2.870285674
43	2.870267149
44	2.870244588
45	2.87022367
46	2.870198836
47	2.870179682
48	2.870163387
49	2.870145406
50	2.870111485
51	2.870095054
52	2.87006328
53	2.870036676
54	2.870013145
55	2.870001342
56	2.869994329
57	2.869975733
58	2.869944491
59	2.869938087
60	2.869923229
61	2.869902703
62	2.869884574
63	2.869867934
64	2.869842728
65	2.869817329
66	2.869803371
67	2.869772433
68	2.86975781
69	2.869725799
70	2.869710462
71	2.869684664
72	2.869670886
73	2.869649291
74	2.869622016
75	2.869606683
76	2.869591607
77	2.869566399
78	2.869543193
79	2.869522808
80	2.869507808
81	2.869481405
82	2.869465669
83	2.869444537
84	2.86941885
85	2.869394685
86	2.869378409
87	2.869368045
88	2.869351219
89	2.869330036
90	2.86930717
91	2.869290709
92	2.869280974
93	2.869259929
94	2.869242429
95	2.869223287
96	2.869206187
97	2.869191948
98	2.869179531
99	2.869156463
100	2.869139207
101	2.869116595
102	2.869109241
103	2.869089691
104	2.86906404
105	2.869041862
106	2.869019968
107	2.868995466
108	2.8689722
109	2.86894808
110	2.868932186
111	2.868922477
112	2.868894211
113	2.86887456
114	2.868861752
115	2.868837216
116	2.868812871
117	2.868796067
118	2.868781506
119	2.868763135
120	2.86874455
121	2.868723733
122	2.868701151
123	2.86868188
124	2.868666852
125	2.868643008
126	2.868623676
127	2.868597365
128	2.86856982
129	2.868545128
130	2.868526551
131	2.868502281
132	2.868490204
133	2.868461633
134	2.868445631
135	2.868432023
136	2.868412551
137	2.868392672
138	2.868373496
139	2.868360175
140	2.868342138
141	2.868324567
142	2.868303117
143	2.868276757
144	2.868252259
145	2.868229279
146	2.868214157
147	2.868200298
148	2.868178489
149	2.868161635
150	2.868142515
151	2.868128341
152	2.868111416
153	2.868092694
154	2.86807513
155	2.868056148
156	2.868039301
157	2.868018743
158	2.867993352
159	2.867972669
160	2.867955142
161	2.867936196
162	2.867915812
163	2.867899247
164	2.867878458
165	2.867856308
166	2.867836173
167	2.867816348
168	2.867792471
169	2.867780163
170	2.867761336
171	2.867747574
172	2.867726037
173	2.86770822
174	2.867695335
175	2.867683981
176	2.867666876
177	2.867644165
178	2.867619341
179	2.867602025
180	2.867579697
181	2.867571497
182	2.867557269
183	2.867528153
184	2.867509018
185	2.867491471
186	2.867474235
187	2.867460777
188	2.867437855
189	2.867419077
190	2.867409522
191	2.8673907
192	2.867374496
193	2.867358043
194	2.867343608
195	2.867322698
196	2.86729612
197	2.867281124
198	2.867261738
199	2.867249892
